"","SOURCE_IP","EXPORT_TIME","INTERFACE_ID","DESTINATION_IP","SOURCE_PORT","DESTINATION_PORT","PROTOCOL","REQUEST_TIME","LOG_ACTION","Reliability","Risk","Type","Country","Locale","Coords","x","simpletype"
"313","203.24.188.224","2018-03-19","eni-e0a7ef5b","10.83.0.184",42387,8545,6,"2018-02-24","REJECT",4,2,"Malicious Host","","","37.5984992981,126.978302002","3","Malicious Host"
"314","203.24.188.224","2018-03-19","eni-9db8fb9d","10.80.1.208",53080,8545,6,"2018-02-24","REJECT",4,2,"Malicious Host","","","37.5984992981,126.978302002","3","Malicious Host"
"315","203.24.188.224","2018-03-19","eni-f23e6202","10.80.9.246",55655,8545,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","","","37.5984992981,126.978302002","3","Malicious Host"
"316","203.24.188.224","2018-03-19","eni-e1fff024","10.83.5.39",48585,8545,6,"2018-02-24","ACCEPT",4,2,"Malicious Host","","","37.5984992981,126.978302002","3","Malicious Host"
"317","203.24.188.224","2018-03-19","eni-38cc39e6","10.80.4.143",60477,8545,6,"2018-02-24","REJECT",4,2,"Malicious Host","","","37.5984992981,126.978302002","3","Malicious Host"
"318","203.24.188.224","2018-03-19","eni-d9305775","10.80.11.80",39065,8545,6,"2018-02-24","REJECT",4,2,"Malicious Host","","","37.5984992981,126.978302002","3","Malicious Host"
"319","205.209.159.124","2018-03-19","eni-f534ea00","10.80.10.223",26632,16219,6,"2018-02-24","REJECT",4,2,"Malicious Host","US","San Jose","37.3238983154,-121.914398193","3","Malicious Host"
"320","205.209.159.19","2018-03-19","eni-9d336f42","10.80.5.103",18635,5269,6,"2018-02-24","REJECT",4,2,"Malicious Host","US","San Jose","37.3238983154,-121.914398193","3","Malicious Host"
"321","207.38.90.45","2018-03-19","eni-bd3d2377","10.83.10.96",54931,8430,6,"2018-02-24","REJECT",4,2,"Malicious Host","US","Saint Louis","38.6311988831,-90.192199707","3","Malicious Host"
"322","207.38.90.45","2018-03-19","eni-f46d752b","10.80.7.127",54909,8020,6,"2018-02-24","REJECT",4,2,"Malicious Host","US","Saint Louis","38.6311988831,-90.192199707","3","Malicious Host"
